code,date,BonusShares,Allotment,AllotmentPrice,Dividends
SH600011,20040524,1,0,0,0.5
SH600011,20050622,0,0,0,0.25
SH600011,20060419,0.3,0,0,0
SH600011,20060623,0,0,0,0.25
SH600011,20070604,0,0,0,0.28
SH600011,20080613,0,0,0,0.3
SH600011,20090701,0,0,0,0.1
SH600011,20100706,0,0,0,0.21
SH600011,20110623,0,0,0,0.2
SH600011,20120628,0,0,0,0.05
SH600011,20130704,0,0,0,0.21
SH600011,20140718,0,0,0,0.38
SH600011,20150713,0,0,0,0.38
SH600011,20160708,0,0,0,0.47
SH600011,20170630,0,0,0,0.29
SH600011,20180517,0,0,0,0.1
SH600011,20190628,0,0,0,0.1
SH600012,20030711,0,0,0,0.03
SH600012,20040618,0,0,0,0.06
SH600012,20050715,0,0,0,0.1
SH600012,20060403,0.2,0,0,0.435
SH600012,20060718,0,0,0,0.28
SH600012,20070626,0,0,0,0.25
SH600012,20080625,0,0,0,0.2
SH600012,20090602,0,0,0,0.23
SH600012,20100621,0,0,0,0.2
SH600012,20110614,0,0,0,0.21
SH600012,20120716,0,0,0,0.21
SH600012,20130624,0,0,0,0.2
SH600012,20140711,0,0,0,0.22
SH600012,20150720,0,0,0,0.23
SH600012,20160719,0,0,0,0.23
SH600012,20170718,0,0,0,0.23
SH600012,20180717,0,0,0,0.23
SH600012,20190716,0,0,0,0.25
SH600015,20031104,0,0,0,0.353
SH600015,20040521,0.2,0,0,0.01
SH600015,20050602,0,0,0,0.1
SH600015,20060331,0,0,0,0.11
SH600015,20060606,0.3,0,0,0
SH600015,20070417,0,0,0,0.11
SH600015,20080506,0,0,0,0.11
SH600015,20090616,0,0,0,0.13
SH600015,20100520,0,0,0,0.13
SH600015,20110421,0,0,0,0.2
SH600015,20120518,0,0,0,0.25
SH600015,20130724,0.3,0,0,0.47
SH600015,20140710,0,0,0,0.435
SH600015,20150708,0.2,0,0,0.435
SH600015,20160708,0,0,0,0.363
SH600015,20170629,0.2,0,0,0.181
SH600015,20180629,0,0,0,0.151
SH600015,20190711,0,0,0,0.174
SH600016,20010531,0.3,0,0,0.2
SH600016,20020619,0.15,0,0,0.07
SH600016,20030414,0.3,0,0,0.06
SH600016,20040419,0.35,0,0,0.12
SH600016,20050418,0.2,0,0,0.07
SH600016,20051025,0.502,0,0,0
SH600016,20060417,0.4,0,0,0.05
SH600016,20070611,0.19,0,0,0
SH600016,20080407,0.3,0,0,0.05
SH600016,20090526,0,0,0,0.08
SH600016,20100715,0.2,0,0,0.05
SH600016,20110609,0,0,0,0.1
SH600016,20120626,0,0,0,0.3
SH600016,20120903,0,0,0,0.15
SH600016,20130627,0,0,0,0.15
SH600016,20130910,0,0,0,0.158
SH600016,20140625,0.2,0,0,0.1
SH600016,20150109,0,0,0,0.075
SH600016,20150707,0,0,0,0.11
SH600016,20160226,0,0,0,0.075
SH600016,20160624,0,0,0,0.16
SH600016,20160926,0,0,0,0.115
SH600016,20170706,0,0,0,0.165
SH600016,20170926,0,0,0,0.12
SH600016,20180705,0.2,0,0,0.09
SH600016,20190705,0,0,0,0.345
SH600017,20070323,0,0,0,0.15
SH600017,20080522,0,0,0,0.1
SH600017,20080924,1,0,0,0
SH600017,20090518,0,0,0,0.05
SH600017,20100916,0.5,0,0,0
SH600017,20120615,0,0,0,0.06
SH600017,20140519,0,0,0,0.04
SH600017,20150603,0,0,0,0.04
SH600017,20170614,0,0,0,0.01
SH600017,20180608,0,0,0,0.02
SH600017,20190605,0,0,0,0.02
SH600018,20010523,0,0,0,0.35
SH600018,20030410,1,0,0,0.4
SH600018,20040713,0,0,0,0.15
SH600018,20050613,0,0,0,0.3
SH600018,20050822,0.22,0,0,1
